Echo Name,NPC,Location,Area,Zone,Rarity,Description
Accelerated Decay,Sinewy Wolf,Crystalsong Forest - Forlorn Woods,Open World,Crystalsong Forest,Epic,Your damage-over-time effects now benefit from Haste.
Adaptive Power,Ethereal Arcanist / Plunderer / Nethermancer,Terokkar Forest - Tomb of Lights,Open World,Terokkar Forest,Epic,Increases your damage by 1% for each unique Echo you have active. Additional ranks or qualities of the same Echo do not increase this bonus.
Ambidexterity,Bloodsail Raider,Stranglethorn Vale - Booty Bay (north bandit camp),Open World,Stranglethorn Vale,Epic,Allows you to dual wield. Off-hand damage is reduced by 20%.
Armor Mastery,Moonrage Armorer,Silverpine Forest - Pyrewood Village,Open World,Silverpine Forest,Epic,You can equip all armor types.
Brittle Forging,Ignis the Furnace Master,The Storm Peaks - Ulduar,Raid,,Epic,"Your Fire damage builds Heat on the target. At 10 stacks, the target becomes Brittle for 6 sec, increasing your critical strike chance against it by 20%. While Brittle is active, your next Fire critical strike against the target causes it to Shatter, dealing @flat20+sp1+ap0.5@ Fire damage to enemies within 8 yards. Once Brittle expires, the target cannot gain Heat stacks for 6 sec."
Broodmother's Fury,,,,,Epic,"Your damaging spells and abilities have a chance to apply Searing Cinders for 8 sec, dealing 3385 Fire damage every 1 sec. When Searing Cinders reaches 5 stacks, it triggers Deep Breath, burning all enemies in a line in front of you for 45123 Fire damage and consuming all stacks on the primary target. Deep Breath cannot occur more than once every 6 sec."
Broodmother's Webbing,,,,,Epic,"When you take damage while below 50% health, you spray webs, dealing 22552 Nature damage to nearby enemies and stunning them for 4 sec. This effect cannot occur more than once every 15 sec."
Call of the Lich King,Kel'Thuzad,Dragonblight - Naxxramas,Raid,,Epic,"Killing an enemy grants a Soul Fragment. At 6 Soul Fragments, they are consumed to summon a Servant of the Lich King for 30 sec. You can have up to 6 Servants active at once."
Champion's Rally,,,,,Epic,"Your healing spells grant Rally for 8 sec. At 10 stacks, you unleash Champion's Rally, instantly healing your target for 42782 and granting them Rallying Cry for 6 sec, reducing damage taken by 15% and increasing healing received by 20%. While Rallying Cry is active, 30% of your direct healing on that target is also granted to the most injured nearby ally."
Chill of the Bone Wyrm,Sapphiron,Dragonblight - Naxxramas,Raid,,Epic,"Dealing Frost damage grants a stack of Rime. At 12 stacks, you unleash Frost Breath in front of you, dealing 39469 Frost damage and leaving enemies hit Brittle for 5 sec. While Brittle is active, your Frost damage against them is increased by 10%. After triggering, you cannot gain Rime stacks for 4 sec."
Cinders of the Sanctum,,,,,Epic,"Dealing Fire damage grants a stack of Cinders. At 12 stacks, you summon a Fire Cyclone for 12 sec., dealing 6771 Fire damage to enemies within 10 yds every 2 sec. After triggering, you cannot gain Cinders stacks for 4 sec."
Constellations,Algalon the Observer,The Storm Peaks - Ulduar,Raid,,Epic,"Your critical strikes have a 10% chance to summon a Falling Star that strikes a nearby enemy for @flat10+sp0.5+ap0.25@ Arcane damage. After 5 Falling Stars strike, you trigger Big Bang, dealing @flat100+sp5+ap2.5@ Arcane damage split between all enemies within 12 yards of your target."
Contagion,Jade Ooze,The Hinterlands - Skulk Rock,Open World,The Hinterlands,Epic,Damage dealt by your damage-over-time effects has a chance to apply a random damage-over-time effect associated with another class.
Crypt Lord's Swarm,,,,,Epic,"While in combat, you are enveloped by a Locust Swarm, reducing damage taken by 20% and dealing 5644 Nature damage to nearby enemies every 2 sec."
Curse of the Plaguebringer,,,,,Epic,"Dealing Shadow damage applies a stack of Infection to the target. At 12 stacks, you afflict the target with Curse of the Plaguebringer for 10 sec, dealing $ Shadow damage every 2 sec. Each time it deals damage, it spreads to a nearby enemy not already affected."
Demonic Awakening,,,,,Epic,"When you fall below 35% health, you transform into a Demon for 8 sec. While transformed, your damage is increased by 30%, you leech 15% of damage dealt as health, and your melee attacks strike an additional nearby enemy. Cannot occur more than once every 45 sec."
